time,high,low,close,open
2022-03-08 18:00:00+00:00:00,2623.67,2572.16,2573.38,2594.18
2022-03-08 19:00:00+00:00:00,2583.86,2559.29,2580.84,2573.38
2022-03-08 20:00:00+00:00:00,2588.93,2553.34,2555.61,2580.84
2022-03-08 21:00:00+00:00:00,2565.5,2553.64,2562.61,2555.61
2022-03-08 22:00:00+00:00:00,2574.28,2564.24,2571.58,2559.91
2022-03-08 23:00:00+00:00:00,2587.07,2570.54,2579.18,2571.73
2022-03-09 00:00:00+00:00:00,2590.15,2572.58,2589.12,2579.18
2022-03-09 01:00:00+00:00:00,2622.72,2604.68,2618.8,2588.6
2022-03-09 02:00:00+00:00:00,2633.41,2608.97,2622.54,2617.44
2022-03-09 03:00:00+00:00:00,2703.48,2619.58,2698.55,2622.54
2022-03-09 04:00:00+00:00:00,2724.31,2698.3,2719.94,2698.55
2022-03-09 05:00:00+00:00:00,2724.62,2707.29,2715.09,2719.94
2022-03-09 06:00:00+00:00:00,2726.61,2707.94,2723.7,2715.09
2022-03-09 07:00:00+00:00:00,2747.51,2718.3,2746.45,2723.7
2022-03-09 08:00:00+00:00:00,2764.71,2728.98,2759.13,2746.45
2022-03-09 09:00:00+00:00:00,2767,2753.96,2755.04,2759.13
2022-03-09 10:00:00+00:00:00,2760.1,2745.49,2758.89,2755.04
2022-03-09 11:00:00+00:00:00,2763.65,2741.08,2747.64,2758.89
2022-03-09 12:00:00+00:00:00,2765.18,2734.55,2740.54,2747.64
2022-03-09 13:00:00+00:00:00,2743.04,2716.23,2724.83,2740.54
2022-03-09 14:00:00+00:00:00,2743.62,2723.59,2735.5,2724.83
2022-03-09 15:00:00+00:00:00,2762.01,2733.42,2756.43,2735.5
2022-03-09 16:00:00+00:00:00,2757.26,2743.1,2746.97,2756.43
2022-03-09 17:00:00+00:00:00,2751.52,2736.02,2744.95,2746.97
2022-03-09 18:00:00+00:00:00,2745.35,2704.05,2711.37,2744.95
2022-03-09 19:00:00+00:00:00,2717.55,2683.7,2715.87,2711.37
2022-03-09 20:00:00+00:00:00,2724.81,2683.05,2685.54,2715.87
2022-03-09 21:00:00+00:00:00,2711.04,2684.95,2708.46,2685.54
2022-03-09 22:00:00+00:00:00,2727.82,2707.24,2717.19,2708.46
2022-03-09 23:00:00+00:00:00,2734.54,2710.94,2733.05,2717.19
2022-03-10 00:00:00+00:00:00,2733.49,2707.87,2710.61,2733.05
2022-03-10 01:00:00+00:00:00,2725.16,2662.2,2667.23,2710.61
2022-03-10 02:00:00+00:00:00,2674.35,2661.48,2667.17,2667.23
2022-03-10 03:00:00+00:00:00,2673.78,2659.09,2665.02,2667.17
2022-03-10 04:00:00+00:00:00,2665.05,2603.88,2606.21,2665.02
2022-03-10 05:00:00+00:00:00,2607.13,2588.08,2594.67,2606.21
2022-03-10 06:00:00+00:00:00,2598.64,2580.05,2595.54,2594.67
2022-03-10 07:00:00+00:00:00,2601.86,2585.93,2593.46,2595.54
2022-03-10 08:00:00+00:00:00,2600.8,2580.63,2600.38,2593.46
2022-03-10 09:00:00+00:00:00,2610.47,2589.63,2603.03,2600.38
2022-03-10 10:00:00+00:00:00,2603.92,2589.67,2592.22,2603.03
2022-03-10 11:00:00+00:00:00,2598.91,2585.42,2595.52,2592.22
2022-03-10 12:00:00+00:00:00,2611.48,2588.04,2602.46,2595.52
2022-03-10 13:00:00+00:00:00,2638.21,2576.72,2583.97,2602.46
2022-03-10 14:00:00+00:00:00,2600,2565.89,2597.42,2583.97
2022-03-10 15:00:00+00:00:00,2621.94,2589.5,2598.97,2597.42
